PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,CRASH_DATE_x,SEX,AGE,SAFETY_EQUIPMENT,PEDPEDAL_ACTION,PEDPEDAL_LOCATION,BAC_RESULT,CRASH_DATE_EST_I,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,CRASH_TYPE,STREET_NAME,LATITUDE,LONGITUDE,LOCATION
O1985546,BICYCLE,9e0723abaf8b396b45f1df1446fcb8b8a513c4a2877e85373e64681c8cd3d67014fc1f8222cc4998a9bc3fad38424eb3a8f7d3805313ed4a59d231d6222578ad,12/31/2024 04:40:00 PM,M,,HELMET NOT USED,OTHER ACTION,NOT IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,MEADE AVE,41.7919494872,-87.7743342874,POINT (-87.774334287364 41.791949487206)
O1981069,BICYCLE,0d5bea8b2b8472684d78d55e882df0faecf6d29a46127d0d365d696db9337a723ee4d29afc3724a6ea35ecaf26f0ec6d1519529e82950f7915c6b2323dbedf41,12/31/2024 08:53:00 AM,M,21.0,HELMET NOT USED,WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,RAIN,DAYLIGHT,PEDALCYCLIST,UNKNOWN,STRAIGHT AND LEVEL,WET,NO INJURY / DRIVE AWAY,RIDGEWAY AVE,41.8943909105,-87.7197940394,POINT (-87.71979403941 41.894390910476)
O1978668,BICYCLE,b34303ecdd4a5fd116f5e26f140eb7561449a748bc53dca523ca918a055f9a98f4382b9d6c09488483466808d5da51757d911ce0761856cc27ce09ba86bf4274,12/31/2024 06:25:00 AM,M,61.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),OTHER ACTION,IN ROADWAY,TEST NOT OFFERED,,30,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,WET,INJURY AND / OR TOW DUE TO CRASH,KENMORE AVE,41.9764630629,-87.656566023,POINT (-87.656566023042 41.976463062876)
O1978485,BICYCLE,540b3c613e32741b09c07b6260be03d4177b34058950a32af06fba8c4730076738eefba1d1a2a8166667aa89481d54195933b80ae9aba840afddd328c628f915,12/30/2024 06:18:00 PM,F,56.0,HELMET NOT USED,CROSSING - NO CONTROLS (AT INTERSECTION),IN CROSSWALK,TEST NOT OFFERED,,20,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,BERENICE AVE,41.9504233262,-87.7765578995,POINT (-87.776557899455 41.950423326225)
O1978464,BICYCLE,88196a2e082d2721b0ebea537fc1635126e292bec7fcbc839e3caaedb44579059df5b8d7e04edb424f6871b61e8fea23c9dbceb9919995552b1ae44f432b6d42,12/30/2024 04:57:00 PM,F,49.0,HELMET NOT USED,CROSSING - WITH SIGNAL,BIKEWAY,TEST NOT OFFERED,Y,30,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,18TH ST,41.8579451669,-87.6637121014,POINT (-87.663712101389 41.857945166904)
O1978204,BICYCLE,817649eb2dd32995f61184021f0734c63189c777206f8098acd406cfbae92d4c58d42a0f1932e769c58f4fd63a97a40bc088b0b2da7296cf3f7079842b39c517,12/30/2024 12:30:00 PM,M,28.0,HELMET NOT USED,WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,35,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,WET,NO INJURY / DRIVE AWAY,GRAND AVE,41.8917570566,-87.6295751068,POINT (-87.629575106754 41.891757056624)
O1977489,BICYCLE,ae20a5ee99044bfefeed08bb1a8e696b69409627072ceee51b9bad925913af0883239c5a06acd3561c74d60ae2e917d7d740ca2653e82e4a6422329d585ac318,12/28/2024 07:10:00 PM,M,53.0,HELMET NOT USED,AGAINST TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,CHICAGO AVE,41.8953298149,-87.7185084011,POINT (-87.718508401111 41.895329814929)
O1977504,BICYCLE,389ead980f1a639f757b831bf14f8db152d7aafbbb8e855c929e73ee056a0ede9d994c63bc3f488437179644f0b4c3e6352b27fd2633ab39b26fc92713f8c590,12/28/2024 05:30:00 PM,F,25.0,HELMET NOT USED,WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,Y,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,DIVERSEY PKWY,41.9324030478,-87.6775124294,POINT (-87.677512429404 41.932403047818)
O1977343,BICYCLE,866175566dc7a043a86ce5bb8fb719f187930c68b1e168de752894cd36bff87d0f5673f29cdb70266fce81c30eac4e8d51e0aa30dd1e7d4d00d27a3bb04b0067,12/28/2024 02:00:00 PM,M,15.0,HELMET NOT USED,CROSSING - NO CONTROLS (NOT AT INTERSECTION),IN CROSSWALK,TEST NOT OFFERED,,20,CLEAR,DAYLIGHT,PEDALCYCLIST,DRIVEWAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,63RD ST,41.7791524505,-87.6983306152,POINT (-87.698330615168 41.779152450501)
O1977094,NON-MOTOR VEHICLE,43e80e7132e866877713760c581eff68d64a7a195d6e8f5d9757b4d29c82a33e5f9f0a3384b599ebd0d96c29fb5881886b5d6ec91886ca4f55c4fb3e692feb29,12/27/2024 10:10:00 PM,M,49.0,USAGE UNKNOWN,,,TEST NOT OFFERED,,30,RAIN,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,ALLEY,STRAIGHT AND LEVEL,WET,NO INJURY / DRIVE AWAY,HENDERSON ST,41.9416094831,-87.7352618821,POINT (-87.735261882145 41.94160948308)
