CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,CRASH_TYPE,STREET_NAME,LATITUDE,LONGITUDE,LOCATION,Label
d1969272e6827116f3f8446357cb14e77cb62d958e91421fc9f5381b8813cfcdbfb0d5e08ec8d938bd5122287091dfabd1aac2db6fbba92b3067630561b1d0e8,,2022-02-01 11:15:00,30,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,INJURY AND / OR TOW DUE TO CRASH,SOUTHPORT AVE,41.9439902509,-87.6640799966,POINT (-87.664079996629 41.943990250919),"{'Mode': 'rental', 'Type': 'classic_bike'}"
b185052fe7cbc7a52dd66f9c1f349aeea8ef71daf1594006287cafa740f218121a12dd6603302a6f9a0c2f9749220ff92015a23e0ebcdf3e4cca38faf4a966ac,,2022-03-06 11:40:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,WELLS ST,41.9033111306,-87.6346058023,POINT (-87.634605802299 41.903311130583),"{'Mode': 'rental', 'Type': 'classic_bike'}"
2c908a66633958a7f92f48a7f19b2b0132590d294813351ea26320d39a314e75798b045c90d8d8956cd86460ea69107e629ee849ab0c3870e11f8d808aa0c120,,2022-03-20 20:30:00,30,CLEAR,DARKNESS,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,IRVING PARK RD,41.9545969221,-87.6546272474,POINT (-87.654627247399 41.954596922053),"{'Mode': 'rental', 'Type': 'electric_bike'}"
b55d9d81bec4e9b73fc6d4a2c77ea777041d12f5201eb9704541cd57636a589e032bee92d599d4e72ac0291ab38eac48f9484031d54dcb82dd806a8072990d7b,,2022-04-14 14:25:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,SOUTHPORT AVE,41.9433702002,-87.6640631041,POINT (-87.664063104114 41.943370200204),"{'Mode': 'rental', 'Type': 'electric_bike'}"
383eb828395b76bcaefd4038021be5ab84cad832e250b14fde746827101e06c72276d21c9f76346cc6d5c663d25509225645e03b0d2c702e347eeee134e3e3fd,,2022-04-22 17:51:00,25,CLEAR,DUSK,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,INJURY AND / OR TOW DUE TO CRASH,RANDOLPH ST,41.884179966,-87.6541113518,POINT (-87.654111351842 41.884179966037),"{'Mode': 'rental', 'Type': 'electric_bike'}"
035fdd75cf55adf85c24401b8eb5fe03689f56d21a684cdb3db0627af15ec0c23852574e3613f6d32dc4a98f7ff7e3069b76138223caca8b028c364a52e793b7,,2022-05-10 17:20:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,DAMEN AVE,41.9158003569,-87.6774303555,POINT (-87.677430355505 41.915800356908),"{'Mode': 'rental', 'Type': 'classic_bike'}"
1c51c340ff780cb700895649f175a749c32eab69fa9bb803fac69e81c0cad0569d271e4554483c74f543f04dd29f1aecbba911dde50e1e16d09f81d7bde649cc,,2022-05-13 16:40:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,FULLERTON AVE,41.9254066361,-87.6580621839,POINT (-87.658062183857 41.92540663614),"{'Mode': 'rental', 'Type': 'classic_bike'}"
d46bd0ec216f69c11d44ccad3b0e96a202b0140a4323eba7a2acd322630781ac0a650048387c135021c717875bbd20d08b3fc0ce931ea543289b6f9e59efa4b1,,2022-05-28 09:57:00,25,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT ON GRADE,DRY,INJURY AND / OR TOW DUE TO CRASH,ORLEANS ST,41.8896893992,-87.6366044996,POINT (-87.63660449962 41.889689399169),"{'Mode': 'rental', 'Type': 'electric_bike'}"
8c45d319c61927e4e0203eb81014b87512eb1771bf30ac08cebe14b9f77559a111e8e284e3b4acfe77d90be5ca9c29e0f520b4b2035cac67d7225cef7d62edac,,2022-05-29 16:30:00,35,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,ROOSEVELT RD,41.8673210997,-87.6259539918,POINT (-87.625953991796 41.867321099741),"{'Mode': 'rental', 'Type': 'classic_bike'}"
7671c2583e8e74330a20618712cf538088a51a83874e7645c1649f42566d3317c5c41c9226794ebcfc90975576a41caef4ec4ce519b19a9df4b9cf318be26704,,2022-05-31 17:05:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,SHERIDAN RD,41.9545326889,-87.6546930249,POINT (-87.65469302487 41.954532688932),"{'Mode': 'rental', 'Type': 'classic_bike'}"
f34a71e0577f852a31e214c64519a6612cb57c9baeb444f0bba4389648a9d4f0bd43b63db2707000450d1db9b12130e66640048969c8e8f183dbfd0e774222be,Y,2022-06-07 18:55:00,25,CLEAR,DUSK,PEDALCYCLIST,Y-INTERSECTION,STRAIGHT ON GRADE,DRY,INJURY AND / OR TOW DUE TO CRASH,ARMITAGE AVE,41.9174294794,-87.691534747,POINT (-87.691534747024 41.917429479437),"{'Mode': 'rental', 'Type': 'classic_bike'}"
4e22f91140d270c8076a17172f3df0e4df0b8264c2527328396b6906242351f599146760cf22f6aa551fb2d45f56dca30d3d2f98a146990ddd8eccfb8c2e6da3,,2022-06-12 15:00:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,ROOSEVELT RD,41.8671220173,-87.6414076004,POINT (-87.641407600431 41.867122017279),"{'Mode': 'rental', 'Type': 'classic_bike'}"
6f70b2a0a796d52ec15bff2d5cd7e377f02ad36c0aca1d5147a80ec6b4f56585aaa7edc3d414b069f3035d1f818be39f06ec97ace309f85c46bcb0fa7e6676df,,2022-06-15 10:00:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,"CURVE, LEVEL",DRY,NO INJURY / DRIVE AWAY,STOCKTON DR,41.9315414906,-87.6388473962,POINT (-87.638847396161 41.931541490558),"{'Mode': 'rental', 'Type': 'classic_bike'}"
d03d43c1747c8cc03795a6e6283c175f2f809bec085058c2273729d0ed6bc93d577941c24d5aa8619524f31548e6001a5293048b2f1b2b9308ec46f884bd01af,,2022-06-20 16:37:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,FULLERTON DR,41.9260404634,-87.6311036592,POINT (-87.631103659168 41.926040463404),"{'Mode': 'rental', 'Type': 'docked_bike'}"
06194726475bf51e5918745b6d24e8465b6147f958d15a6e0d164dc42da4e69da2d8be4a4bacae5f6cb27a14c08702c329bf3e91d6f440751af977d68b0e94cf,,2022-06-28 12:25:00,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,WILSON AVE,41.9652825804,-87.6580082008,POINT (-87.658008200782 41.965282580419),"{'Mode': 'rental', 'Type': 'classic_bike'}"
49591a1cae737eea5bf68b847b436d7be008fd214f77735848938c7ac0b70a5df000ea6809f39553ba2187a1d89752dfdf65555c8d269b3a00bf33651df5013d,,2022-06-28 17:25:00,25,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLARK ST,41.9732070442,-87.6678987352,POINT (-87.667898735233 41.973207044233),"{'Mode': 'rental', 'Type': 'classic_bike'}"
