PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,CRASH_DATE_x,SEX,AGE,SAFETY_EQUIPMENT,PEDPEDAL_ACTION,PEDPEDAL_LOCATION,BAC_RESULT,CRASH_DATE_EST_I,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,CRASH_TYPE,STREET_NAME,LATITUDE,LONGITUDE,LOCATION,Type
O1963042,BICYCLE,8d47b3a2ded783baa259ec9e4b56e89fdd327ac6d6e483d3646fd387838a53aeeb5c7142843858837d0299204740320ca3da587b4123a0f84a80e54e5f9c1f16,12/06/2024 08:55:00 AM,M,32.0,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,20,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,MORGAN ST,41.8716989836,-87.6510300968,POINT (-87.651030096835 41.8716989836),classic_bike
O1963987,BICYCLE,2f2d19debd9560376fbd92e1449474812e997c39d865399624bbd3b036a6e1e89959b9379e1e3c972672a97f8a4e152808630cfba49c26220e81f670e83faa23,11/27/2024 06:00:00 PM,M,,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),WITH TRAFFIC,IN ROADWAY,TEST NOT OFFERED,,30,UNKNOWN,UNKNOWN,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,RIDGE AVE,41.9896769356,-87.6702068165,POINT (-87.670206816488 41.98967693564),electric_bike
O1953595,BICYCLE,460149d0258509643a4d5ee0cea60a35f88e18c8db2c759db3ac595f9abe5373246697b7f738ec192d0fc357746c548d2192dccd7a72b8d85b91b0127346e5e4,11/20/2024 06:30:00 PM,M,,HELMET NOT USED,CROSSING - WITH SIGNAL,IN CROSSWALK,TEST NOT OFFERED,,30,SNOW,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,WET,NO INJURY / DRIVE AWAY,SEDGWICK ST,41.9220037339,-87.6390847949,POINT (-87.63908479494 41.92200373395),electric_bike
O1947983,BICYCLE,c3d5883f6c8396c23122de81f6cfee2e7d86ca8b203fcc2e6b8d68ebf7bccf8dfa634b146e09866a068a8a3f4c51ef17549dd3f503b68c21c8b37c8ded449418,11/12/2024 05:35:00 PM,M,26.0,HELMET NOT USED,WITH TRAFFIC,BIKE LANE,TEST NOT OFFERED,,30,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,SOUTHPORT AVE,41.9438456011,-87.6637819346,POINT (-87.663781934613 41.943845601126),electric_bike
O1947727,BICYCLE,b47c106a4b28644815a59541f3b1fd0a8484b59088dd59f70de3f4c4929ca4e11ef8a5a8e185fb5dbcabd77bc28df35044fe1e7c9cc56612809b070bbf1c68dc,11/12/2024 12:14:00 PM,M,26.0,HELMET NOT USED,OTHER ACTION,BIKE LANE,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,DEARBORN ST,41.8844460794,-87.629602189,POINT (-87.629602188986 41.884446079412),classic_bike
O1939371,BICYCLE,7a3ebdef52167e432781c450a68ed370d5ad108083a71d2f1b74d16c12258f9baf72eec81e7e646d1e787c8cd5b93283e3fc33274e8c729a6b226d11d5bf9c2f,10/30/2024 09:28:00 PM,M,,BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY),TURNING RIGHT,IN ROADWAY,TEST NOT OFFERED,,30,CLEAR,DARKNESS,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO INJURY / DRIVE AWAY,RACINE AVE,41.9507018271,-87.6591104454,POINT (-87.659110445357 41.950701827106),electric_bike
O1924763,BICYCLE,78317f95381c0e808180c539df3a73d68ed6490801905e03dd5eea45af7cc0a1fb394221da7b84f26451345658f37be0c63a3d85d652aff7dc2a0b3431b24d7d,10/10/2024 08:46:00 AM,M,,HELMET NOT USED,WITH TRAFFIC,BIKE LANE,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CHICAGO AVE,41.8964000539,-87.6537495116,POINT (-87.65374951159 41.896400053928),classic_bike
O1924408,BICYCLE,090c9a1ee0aa3e361e60ae5389537612a93a1ba91651ec9f05a42de42a3c3f0f75792a5c2a67c7e09a46e2493fb1efa9a914b80aa063afa7c3df918a2428012b,10/09/2024 04:38:00 PM,M,27.0,HELMET NOT USED,WITH TRAFFIC,BIKEWAY,TEST NOT OFFERED,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,CLINTON ST,41.8780633538,-87.6409256179,POINT (-87.640925617863 41.878063353766),classic_bike
O1918887,BICYCLE,7e8d6c0bc27c8471b7596e0c432498bf53039481ca1ba4f49a284b2f2e5e873acf9cb8a189ddb40b23311fd8037dc439f017b8eeda8226915f7d3fb419659b1a,09/29/2024 03:15:00 PM,M,47.0,HELMET NOT USED,UNKNOWN/NA,IN ROADWAY,,,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,HALSTED ST,41.9502903792,-87.6497315231,POINT (-87.649731523109 41.950290379189),electric_scooter
O1917118,NON-MOTOR VEHICLE,7d06830606838af551e26613cd85a4daf0b3378a52af193bd1c158e526f80b96fa48589d56a6cdd34c1b93ff4ac18a740ffbdb6bad5569afa849b44d00a29bd9,09/28/2024 11:30:00 PM,F,23.0,USAGE UNKNOWN,AGAINST TRAFFIC,BIKEWAY,TEST NOT OFFERED,,30,CLEAR,"DARKNESS, LIGHTED ROAD",OTHER OBJECT,FOUR WAY,STRAIGHT AND LEVEL,DRY,INJURY AND / OR TOW DUE TO CRASH,WELLS ST,41.8900209081,-87.6341761626,POINT (-87.634176162615 41.890020908064),electric_bike
